run_id,map_type,map_name,map_size,obstacle_ratio,task_id,start,goal,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1_rerun,dao,arena,49x49,0.1445,17,"12,31","9,26",6.242641,astar_euclidean,True,6.242641,3,8,0.0660,True
exp_v1_rerun,dao,arena,49x49,0.1445,17,"12,31","9,26",6.242641,astar_octile,True,6.242641,1,6,0.0902,True
exp_v1_rerun,dao,arena,49x49,0.1445,17,"12,31","9,26",6.242641,weighted_1.2,True,6.242641,1,6,0.0590,True
exp_v1_rerun,dao,arena,49x49,0.1445,17,"12,31","9,26",6.242641,improved_ours,True,5.830952,0,6,0.1031,True
exp_v1_rerun,dao,arena,49x49,0.1445,17,"12,31","9,26",6.242641,ablation_no_adapt,True,5.830952,0,6,0.0600,True
exp_v1_rerun,dao,arena,49x49,0.1445,17,"12,31","9,26",6.242641,ablation_no_smooth,True,6.242641,1,6,0.1080,True
exp_v1_rerun,dao,arena,49x49,0.1445,18,"24,8","25,12",4.414214,dijkstra,True,4.414214,1,59,0.3786,True
exp_v1_rerun,dao,arena,49x49,0.1445,18,"24,8","25,12",4.414214,astar_euclidean,True,4.414214,1,8,0.0594,True
exp_v1_rerun,dao,arena,49x49,0.1445,18,"24,8","25,12",4.414214,astar_octile,True,4.414214,1,8,0.0679,True
exp_v1_rerun,dao,arena,49x49,0.1445,18,"24,8","25,12",4.414214,weighted_1.2,True,4.414214,1,5,0.0549,True
exp_v1_rerun,dao,arena,49x49,0.1445,18,"24,8","25,12",4.414214,improved_ours,True,4.123106,0,5,0.0953,True
exp_v1_rerun,dao,arena,49x49,0.1445,18,"24,8","25,12",4.414214,ablation_no_adapt,True,4.123106,0,8,0.0669,True
exp_v1_rerun,dao,arena,49x49,0.1445,18,"24,8","25,12",4.414214,ablation_no_smooth,True,4.414214,1,5,0.0809,True
exp_v1_rerun,dao,arena,49x49,0.1445,19,"17,41","14,44",4.242641,dijkstra,True,4.242641,0,51,0.3366,True
exp_v1_rerun,dao,arena,49x49,0.1445,19,"17,41","14,44",4.242641,astar_euclidean,True,4.242641,0,4,0.0327,True
exp_v1_rerun,dao,arena,49x49,0.1445,19,"17,41","14,44",4.242641,astar_octile,True,4.242641,0,4,0.0390,True
exp_v1_rerun,dao,arena,49x49,0.1445,19,"17,41","14,44",4.242641,weighted_1.2,True,4.242641,0,4,0.0378,True
exp_v1_rerun,dao,arena,49x49,0.1445,19,"17,41","14,44",4.242641,improved_ours,True,4.242641,0,4,0.0705,True
exp_v1_rerun,dao,arena,49x49,0.1445,19,"17,41","14,44",4.242641,ablation_no_adapt,True,4.242641,0,4,0.0397,True
exp_v1_rerun,dao,arena,49x49,0.1445,19,"17,41","14,44",4.242641,ablation_no_smooth,True,4.242641,0,4,0.0815,True
exp_v1_rerun,dao,arena,49x49,0.1445,20,"2,3","9,10",9.899495,dijkstra,True,9.899495,0,109,0.6197,True
exp_v1_rerun,dao,arena,49x49,0.1445,20,"2,3","9,10",9.899495,astar_euclidean,True,9.899495,0,8,0.0705,True
exp_v1_rerun,dao,arena,49x49,0.1445,20,"2,3","9,10",9.899495,astar_octile,True,9.899495,0,8,0.0815,True
exp_v1_rerun,dao,arena,49x49,0.1445,20,"2,3","9,10",9.899495,weighted_1.2,True,9.899495,0,8,0.0807,True
exp_v1_rerun,dao,arena,49x49,0.1445,20,"2,3","9,10",9.899495,improved_ours,True,9.899495,0,8,0.1628,True
