run_id,map_type,map_name,obstacle_ratio,task_id,start,goal,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1,dao,arena,0.1445,16,"39,25","43,27",4.828427,astar_euclidean,True,4.828427,2,9,0.0732,True
exp_v1,dao,arena,0.1445,16,"39,25","43,27",4.828427,astar_octile,True,4.828427,1,9,0.0738,True
exp_v1,dao,arena,0.1445,16,"39,25","43,27",4.828427,weighted_1.2,True,4.828427,1,5,0.0476,True
exp_v1,dao,arena,0.1445,16,"39,25","43,27",4.828427,improved_ours,True,4.472136,0,5,0.0844,True
exp_v1,dao,arena,0.1445,16,"39,25","43,27",4.828427,ablation_no_adapt,True,4.472136,0,9,0.0737,True
exp_v1,dao,arena,0.1445,16,"39,25","43,27",4.828427,ablation_no_smooth,True,4.828427,1,5,0.0837,True
exp_v1,dao,arena,0.1445,17,"12,31","9,26",6.242641,dijkstra,True,6.242641,1,95,0.7163,True
exp_v1,dao,arena,0.1445,17,"12,31","9,26",6.242641,astar_euclidean,True,6.242641,3,8,0.0658,True
exp_v1,dao,arena,0.1445,17,"12,31","9,26",6.242641,astar_octile,True,6.242641,1,6,0.0601,True
exp_v1,dao,arena,0.1445,17,"12,31","9,26",6.242641,weighted_1.2,True,6.242641,1,6,0.0571,True
exp_v1,dao,arena,0.1445,17,"12,31","9,26",6.242641,improved_ours,True,5.830952,0,6,0.1035,True
exp_v1,dao,arena,0.1445,17,"12,31","9,26",6.242641,ablation_no_adapt,True,5.830952,0,6,0.0716,True
exp_v1,dao,arena,0.1445,17,"12,31","9,26",6.242641,ablation_no_smooth,True,6.242641,1,6,0.1307,True
exp_v1,dao,arena,0.1445,18,"24,8","25,12",4.414214,dijkstra,True,4.414214,1,59,0.3692,True
exp_v1,dao,arena,0.1445,18,"24,8","25,12",4.414214,astar_euclidean,True,4.414214,1,8,0.0606,True
exp_v1,dao,arena,0.1445,18,"24,8","25,12",4.414214,astar_octile,True,4.414214,1,8,0.0697,True
exp_v1,dao,arena,0.1445,18,"24,8","25,12",4.414214,weighted_1.2,True,4.414214,1,5,0.0457,True
exp_v1,dao,arena,0.1445,18,"24,8","25,12",4.414214,improved_ours,True,4.123106,0,5,0.0792,True
exp_v1,dao,arena,0.1445,18,"24,8","25,12",4.414214,ablation_no_adapt,True,4.123106,0,8,0.0664,True
exp_v1,dao,arena,0.1445,18,"24,8","25,12",4.414214,ablation_no_smooth,True,4.414214,1,5,0.0808,True
exp_v1,dao,arena,0.1445,19,"17,41","14,44",4.242641,dijkstra,True,4.242641,0,51,0.3695,True
exp_v1,dao,arena,0.1445,19,"17,41","14,44",4.242641,astar_euclidean,True,4.242641,0,4,0.0448,True
exp_v1,dao,arena,0.1445,19,"17,41","14,44",4.242641,astar_octile,True,4.242641,0,4,0.0400,True
exp_v1,dao,arena,0.1445,19,"17,41","14,44",4.242641,weighted_1.2,True,4.242641,0,4,0.0383,True
exp_v1,dao,arena,0.1445,19,"17,41","14,44",4.242641,improved_ours,True,4.242641,0,4,0.0707,True
exp_v1,dao,arena,0.1445,19,"17,41","14,44",4.242641,ablation_no_adapt,True,4.242641,0,4,0.0415,True
exp_v1,dao,arena,0.1445,19,"17,41","14,44",4.242641,ablation_no_smooth,True,4.242641,0,4,0.0690,True
exp_v1,dao,arena,0.1445,20,"2,3","9,10",9.899495,dijkstra,True,9.899495,0,109,0.6351,True
exp_v1,dao,arena,0.1445,20,"2,3","9,10",9.899495,astar_euclidean,True,9.899495,0,8,0.0826,True
exp_v1,dao,arena,0.1445,20,"2,3","9,10",9.899495,astar_octile,True,9.899495,0,8,0.0819,True
exp_v1,dao,arena,0.1445,20,"2,3","9,10",9.899495,weighted_1.2,True,9.899495,0,8,0.0805,True
exp_v1,dao,arena,0.1445,20,"2,3","9,10",9.899495,improved_ours,True,9.899495,0,8,0.1429,True
exp_v1,dao,arena,0.1445,20,"2,3","9,10",9.899495,ablation_no_adapt,True,9.899495,0,8,0.0963,True
exp_v1,dao,arena,0.1445,20,"2,3","9,10",9.899495,ablation_no_smooth,True,9.899495,0,8,0.1512,True
exp_v1,dao,arena,0.1445,21,"22,22","24,11",11.828427,dijkstra,True,11.828427,2,364,2.4159,True
exp_v1,dao,arena,0.1445,21,"22,22","24,11",11.828427,astar_euclidean,True,11.828427,2,23,0.1896,True
exp_v1,dao,arena,0.1445,21,"22,22","24,11",11.828427,astar_octile,True,11.828427,2,18,0.1603,True
exp_v1,dao,arena,0.1445,21,"22,22","24,11",11.828427,weighted_1.2,True,11.828427,1,12,0.1307,True
exp_v1,dao,arena,0.1445,21,"22,22","24,11",11.828427,improved_ours,True,11.180340,0,12,0.2069,True
exp_v1,dao,arena,0.1445,21,"22,22","24,11",11.828427,ablation_no_adapt,True,11.180340,0,18,0.1935,True
exp_v1,dao,arena,0.1445,21,"22,22","24,11",11.828427,ablation_no_smooth,True,11.828427,1,12,0.1980,True
exp_v1,dao,arena,0.1445,22,"19,32","11,31",10.414214,dijkstra,True,10.414214,2,266,1.6680,True
exp_v1,dao,arena,0.1445,22,"19,32","11,31",10.414214,astar_euclidean,True,10.414214,2,13,0.0986,True
exp_v1,dao,arena,0.1445,22,"19,32","11,31",10.414214,astar_octile,True,10.414214,2,12,0.0935,True
exp_v1,dao,arena,0.1445,22,"19,32","11,31",10.414214,weighted_1.2,True,10.414214,3,12,0.0977,True
exp_v1,dao,arena,0.1445,22,"19,32","11,31",10.414214,improved_ours,True,9.398346,2,12,0.1506,True
exp_v1,dao,arena,0.1445,22,"19,32","11,31",10.414214,ablation_no_adapt,True,9.307136,1,12,0.0940,True
exp_v1,dao,arena,0.1445,22,"19,32","11,31",10.414214,ablation_no_smooth,True,10.414214,3,12,0.1509,True
exp_v1,dao,arena,0.1445,23,"45,15","42,7",9.242641,dijkstra,True,9.242641,2,154,0.9452,True
exp_v1,dao,arena,0.1445,23,"45,15","42,7",9.242641,astar_euclidean,True,9.242641,4,18,0.1389,True
exp_v1,dao,arena,0.1445,23,"45,15","42,7",9.242641,astar_octile,True,9.242641,3,9,0.0862,True
exp_v1,dao,arena,0.1445,23,"45,15","42,7",9.242641,weighted_1.2,True,9.242641,1,9,0.0859,True
exp_v1,dao,arena,0.1445,23,"45,15","42,7",9.242641,improved_ours,True,8.544004,0,9,0.1850,True
exp_v1,dao,arena,0.1445,23,"45,15","42,7",9.242641,ablation_no_adapt,True,8.544004,0,9,0.1013,True
exp_v1,dao,arena,0.1445,23,"45,15","42,7",9.242641,ablation_no_smooth,True,9.242641,3,9,0.1788,True
exp_v1,dao,arena,0.1445,24,"28,31","29,41",10.414214,dijkstra,True,10.414214,1,280,1.7876,True
