run_id,map_type,map_name,obstacle_ratio,task_id,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1_longpath,street,Berlin_0_512,0.2498,3,746.075252,ablation_no_adapt,True,708.274444,6,57128,519.0680,True
exp_v1_longpath,street,Berlin_0_512,0.2498,3,746.075252,ablation_no_smooth,True,842.501659,305,37905,656.8383,True
exp_v1_longpath,street,Berlin_0_512,0.2498,4,745.790981,astar_euclidean,True,745.790981,187,54752,468.8496,True
exp_v1_longpath,street,Berlin_0_512,0.2498,4,745.790981,astar_octile,True,745.790981,92,35745,391.2136,True
exp_v1_longpath,street,Berlin_0_512,0.2498,4,745.790981,weighted_1.2,True,753.246825,109,18096,189.7465,True
exp_v1_longpath,street,Berlin_0_512,0.2498,4,745.790981,improved_ours,True,711.743792,8,13814,205.0517,True
exp_v1_longpath,street,Berlin_0_512,0.2498,4,745.790981,ablation_no_adapt,True,712.349853,4,35745,395.4232,True
exp_v1_longpath,street,Berlin_0_512,0.2498,4,745.790981,ablation_no_smooth,True,789.531096,166,13814,195.6465,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,0,1539.802307,astar_euclidean,True,1539.802307,314,310225,4060.5796,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,0,1539.802307,astar_octile,True,1539.802307,94,171517,1853.6849,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,0,1539.802307,weighted_1.2,True,1539.802307,5,210852,2663.2067,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,0,1539.802307,improved_ours,True,1593.981912,6,131253,2367.4088,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,0,1539.802307,ablation_no_adapt,True,1460.105497,7,171517,1845.4072,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,0,1539.802307,ablation_no_smooth,True,1770.873375,632,131253,2362.6855,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,1,1539.535280,astar_euclidean,True,1539.535280,258,382643,4807.6039,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,1,1539.535280,astar_octile,True,1539.535280,180,245887,2582.4351,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,1,1539.535280,weighted_1.2,True,1678.772870,267,256643,3321.8531,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,1,1539.535280,improved_ours,True,1564.160937,7,173362,3077.8786,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,1,1539.535280,ablation_no_adapt,True,1462.110111,7,245887,2648.4871,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,1,1539.535280,ablation_no_smooth,True,1722.187084,637,173362,3083.7522,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,2,1538.263202,astar_euclidean,True,1538.263202,437,225261,2340.4630,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,2,1538.263202,astar_octile,True,1538.263202,129,147802,1719.3637,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,2,1538.263202,weighted_1.2,True,1554.003318,167,71977,737.2442,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,2,1538.263202,improved_ours,True,1464.505180,10,44435,672.4846,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,2,1538.263202,ablation_no_adapt,True,1460.385903,7,147802,1749.8734,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,2,1538.263202,ablation_no_smooth,True,1614.956636,230,44435,684.1965,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,3,1537.902812,astar_euclidean,True,1537.902812,479,206569,2192.5411,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,3,1537.902812,astar_octile,True,1537.902812,98,134414,1544.3090,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,3,1537.902812,weighted_1.2,True,1547.015511,93,58203,588.9586,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,3,1537.902812,improved_ours,True,1501.888615,9,45197,680.7170,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,3,1537.902812,ablation_no_adapt,True,1458.101567,7,134414,1574.5423,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,3,1537.902812,ablation_no_smooth,True,1626.755626,220,45197,744.8831,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,4,1537.677415,astar_euclidean,True,1537.677416,405,232328,2589.2200,True
exp_v1_longpath,street,Berlin_0_1024,0.2421,4,1537.677415,astar_octile,True,1537.677416,95,153953,1861.1205,True
